Location name,Amount spent (RON)
Alba County,367
Arad County,948
Argeș County,849
Bacău County,643
Bihor County,809
Bistrița-Năsăud County,338
Botoșani County,670
Brașov County,706
Brăila County,389
Bucharest,4905
Buzău County,458
Caraș-Severin County,401
Cluj County,1231
Constanța County,1170
Covasna County,192
Călărași County,230
Dolj County,859
Dâmbovița County,501
Galați County,642
Giurgiu County,218
Gorj County,476
Harghita County,389
Hunedoara County,684
Ialomița County,221
Iași County,1509
Ilfov County,552
Maramureș County,715
Mehedinți County,303
Mureș County,731
Neamț County,722
Olt County,354
Prahova County,981
Satu Mare County,358
Sibiu County,499
Suceava County,636
Sălaj County,206
Teleorman County,368
Timiș County,1275
Tulcea County,258
Unknown,≤100
Vaslui County,351
Vrancea County,325
Vâlcea County,743
