Location name,Amount spent (COP)
Amazonas,6112
Antioquia,5538830
Arauca,139424
Atlantico,920525
Bolivar,428260
Boyaca,211271
Caldas,212054
Caqueta,93396
Casanare,93073
Cauca,369853
Cesar,191913
Choco,58707
Cordoba,282011
Cundinamarca,813589
Distrito Especial,4101775
Guainia,2207
Guaviare,16413
Huila,424293
La Guajira,97715
Magdalena,404580
Meta,386102
Narino,290864
Norte de Santander,430533
Putumayo,83849
Quindio,231028
Risaralda,809129
San Andres y Providencia,14643
Santander,813505
Sucre,218467
Tolima,386714
Unknown,288
Valle del Cauca,3337064
Vaupes,1210
Vichada,2151
