Location name,Amount spent (MXN)
Aguascalientes,8084
Baja California,21664
Baja California Sur,5712
Campeche,18058
Chiapas,15371
Chihuahua,22182
Coahuila de Zaragoza,255781
Colima,4011
Distrito Federal,192900
Durango,9794
Guanajuato,23130
Guerrero,8134
Hidalgo,10880
Jalisco,72264
Michoacán de Ocampo,17839
Morelos,11527
Nayarit,6714
Nuevo León,67126
Oaxaca,14143
Puebla,22327
Querétaro Arteaga,16782
Quintana Roo,16058
San Luis Potosi,11044
Sinaloa,6160
Sonora,36493
State of Mexico,188169
Tabasco,6890
Tamaulipas,19963
Tlaxcala,4590
Unknown,750
Veracruz,28994
Yucatán,28467
Zacatecas,5189
