Location name,Amount spent (DKK)
Capital Region of Denmark,52068
Central Denmark Region,33553
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,13532
Region of Southern Denmark,27917
Unknown,≤100
Zealand Region,18623
