Location name,Amount spent (NOK)
Akershus,1482
Aust-Agder,263
Buskerud,592
Finnmark,175
Hedmark,391
Hordaland,1200
Møre og Romsdal,558
Nord-Trøndelag,280
Nordland,520
Oppland,394
Oslo,3242
Rogaland,1233
Sogn og Fjordane,225
Sør-Trøndelag,758
Telemark,376
Troms,486
Unknown,≤100
Vest-Agder,751
Vestfold,519
Østfold,638
