Location name,Amount spent (ZAR)
Eastern Cape,1198
Free State,378
Gauteng,6534
KwaZulu-Natal,1436
Limpopo,617
Mpumalanga,688
North West,418
Northern Cape,284
Unknown,≤100
Western Cape,4187
