Location name,Amount spent (MXN)
Aguascalientes,7833
Baja California,13348
Baja California Sur,6422
Campeche,11380
Chiapas,9789
Chihuahua,16655
Coahuila de Zaragoza,33851
Colima,2179
Distrito Federal,91269
Durango,4776
Guanajuato,28459
Guerrero,7549
Hidalgo,6708
Jalisco,69665
Michoacán de Ocampo,31809
Morelos,20081
Nayarit,2822
Nuevo León,96403
Oaxaca,8005
Puebla,16210
Querétaro Arteaga,19569
Quintana Roo,26481
San Luis Potosi,11316
Sinaloa,6841
Sonora,21377
State of Mexico,56220
Tabasco,16306
Tamaulipas,25290
Tlaxcala,2294
Unknown,≤100
Veracruz,17282
Yucatán,19431
Zacatecas,4061
