Location name,Amount spent (COP)
Amazonas,3326
Antioquia,12295117
Arauca,35785
Atlantico,558512
Bolivar,342944
Boyaca,383354
Caldas,247182
Caqueta,318039
Casanare,251608
Cauca,408578
Cesar,222179
Choco,24733
Cordoba,450528
Cundinamarca,505932
Distrito Especial,4059383
Guainia,3178
Guaviare,18360
Huila,617997
La Guajira,50168
Magdalena,840198
Meta,623809
Narino,112264
Norte de Santander,1822882
Putumayo,150130
Quindio,63212
Risaralda,1059085
San Andres y Providencia,4120
Santander,3551008
Sucre,153294
Tolima,91787
Unknown,129
Valle del Cauca,2965185
Vaupes,917
Vichada,2752
