Location name,Amount spent (JPY)
Aichi Prefecture,24775
Akita Prefecture,24711
Aomori Prefecture,2385
Chiba Prefecture,92091
Ehime Prefecture,15905
Fukui Prefecture,7137
Fukuoka Prefecture,84016
Fukushima Prefecture,3454
Gifu Prefecture,3147
Gunma Prefecture,7455
Hiroshima Prefecture,12569
Hokkaido,12538
Hyōgo Prefecture,59081
Ibaraki Prefecture,8723
Ishikawa Prefecture,2224
Iwate Prefecture,2424
Kagawa Prefecture,4285
Kagoshima Prefecture,5000
Kanagawa Prefecture,21399
Kumamoto Prefecture,5180
Kyoto Prefecture,7900
Kōchi Prefecture,926
Mie Prefecture,16180
Miyagi Prefecture,11799
Miyazaki Prefecture,1918
Nagano Prefecture,55374
Nagasaki Prefecture,3733
Nara Prefecture,2832
Niigata Prefecture,3430
Okayama Prefecture,2899
Okinawa Prefecture,3993
Osaka Prefecture,185820
Saga Prefecture,25103
Saitama Prefecture,19249
Shiga Prefecture,2501
Shimane Prefecture,4447
Shizuoka Prefecture,7236
Tochigi Prefecture,2989
Tokushima Prefecture,1468
Tokyo,166892
Tottori Prefecture,1399
Toyama Prefecture,1455
Unknown,≤100
Wakayama Prefecture,1502
Yamagata Prefecture,3433
Yamaguchi Prefecture,1863
Yamanashi Prefecture,1270
Ōita Prefecture,19325
