Location name,Amount spent (PLN)
Greater Poland Voivodeship,5238
Kuyavian-Pomeranian Voivodeship,3015
Lesser Poland Voivodeship,4542
Lower Silesian Voivodeship,4006
Lublin Voivodeship,2086
Lubusz Voivodeship,1254
Masovian Voivodeship,9126
Opole Voivodeship,1133
Podkarpackie Voivodeship,1862
Podlaskie Voivodeship,1021
Pomeranian Voivodeship,4035
Silesian Voivodeship,5030
Unknown,≤100
Warmian-Masurian Voivodeship,4045
West Pomeranian Voivodeship,2119
Łódź Voivodeship,3033
Świętokrzyskie Voivodeship,1293
