Location name,Amount spent (CZK)
Central Bohemian Region,7534
Hradec Králové Region,3100
Karlovy Vary Region,1828
Liberec Region,2225
Moravian-Silesian Region,7439
Olomouc Region,5183
Pardubice Region,3224
Plzeň Region,3283
Prague,14750
South Bohemian Region,4080
South Moravian Region,7855
Unknown,≤100
Vysočina Region,2658
Zlín Region,3279
Ústí nad Labem Region,4775
