Location name,Amount spent (HUF)
Baranya County,194212
Borsod-Abaúj-Zemplén County,283267
Budapest,1345328
Bács-Kiskun County,257422
Békés County,159444
Csongrád County,257519
Fejér County,209178
Győr-Moson-Sopron County,244755
Hajdú-Bihar County,250381
Heves County,145743
Jász-Nagykun-Szolnok County,173155
Komárom-Esztergom County,166689
Nógrád County,84310
Pest County,589356
Somogy County,138230
Szabolcs-Szatmár-Bereg County,243816
Tolna County,115476
Unknown,667
Vas County,153756
Veszprém County,171991
Zala County,141171
