Location name,Amount spent (VND)
An Giang Province,21940
Bà Rịa–Vũng Tàu Province,39468
Bình Dương Province,104950
Bình Phước Province,17227
Bình Thuận Province,26457
Bình Định Province,33742
Bạc Liêu Province,12500
Bắc Giang Province,70650
Bắc Kạn Province,12767
Bắc Ninh Province,77770
Bến Tre Province,14555
Cao Bằng Province,42787
Cà Mau Province,12502
Cần Thơ,22824
Da Nang,88935
Gia Lai Province,17129
Haiphong,69913
Ho Chi Minh City,1800964
Hà Giang Province,16912
Hà Nam Province,31237
Hà Tĩnh Province,66602
Hòa Bình Province,26603
Hưng Yên Province,38260
Hải Dương Province,101718
Hậu Giang Province,5335
Khánh Hòa Province,52646
Kiên Giang Province,20864
Kon Tum Province,5861
Lai Châu Province,3131
Long An Province,34144
Lào Cai Province,25256
Lâm Đồng Province,45510
Lạng Sơn Province,33220
Nam Định Province,50460
Nghệ An Province,154638
Ninh Bình Province,34068
Ninh Thuận Province,8759
Phú Thọ Province,63844
Phú Yên Province,15160
Quảng Bình Province,18460
Quảng Nam Province,29961
Quảng Ngãi Province,22114
Quảng Ninh Province,47187
Quảng Trị Province,15746
Sóc Trăng Province,12984
Sơn La Province,45410
Thanh Hóa Province,95018
Thái Bình Province,57982
Thái Nguyên Province,124191
Thừa Thiên–Huế Province,26044
Tiền Giang Province,24990
Trà Vinh Province,12914
Tuyên Quang Province,29194
Tây Ninh Province,42163
Vĩnh Long Province,12018
Vĩnh Phúc Province,43554
Yên Bái Province,53019
Điện Biên Province,20965
Đắk Lắk Province,37348
Đắk Nông Province,9704
Đồng Nai Province,172648
Đồng Tháp Province,17077
