Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,409
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,330
Erbil Governorate,686
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,133
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,172
Saladin Governorate,≤100
Sulaymaniyah Governorate,427
Unknown,≤100
Wasit Governorate,≤100
