Location name,Amount spent (USD)
Azuay Province,2619
Bolívar Province,274
Carchi Province,1444
Cañar Province,705
Chimborazo Province,880
Cotopaxi Province,731
El Oro Province,2653
Esmeraldas Province,1171
Galápagos Province,217
Guayas Province,9982
Imbabura Province,1173
Loja Province,1082
Los Ríos Province,2754
Manabí Province,5146
Morona-Santiago Province,406
Napo Province,175
Orellana Province,479
Pastaza Province,413
Pichincha Province,6386
Santa Elena Province,668
Santo Domingo de los Tsáchilas Province,2834
Sucumbíos Province,556
Tungurahua Province,1250
Unknown,≤100
Zamora-Chinchipe Province,206
