Location name,Amount spent (AUD)
Australian Capital Territory,1328
Jervis Bay Territory,≤100
New South Wales,17630
Norfolk Island,≤100
Northern Territory,473
Queensland,10820
South Australia,3633
Tasmania,1837
Unknown,≤100
Victoria,21896
Western Australia,5908
