Location name,Amount spent (HUF)
Baranya County,123601
Borsod-Abaúj-Zemplén County,181705
Budapest,718841
Bács-Kiskun County,151473
Békés County,112573
Csongrád County,162306
Fejér County,153577
Győr-Moson-Sopron County,163815
Hajdú-Bihar County,165737
Heves County,137361
Jász-Nagykun-Szolnok County,107229
Komárom-Esztergom County,87992
Nógrád County,53459
Pest County,301171
Somogy County,94885
Szabolcs-Szatmár-Bereg County,141948
Tolna County,71325
Unknown,118
Vas County,78688
Veszprém County,98329
Zala County,87704
