Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,1111792,15
101871502791636,Carlos Acosta Juliao Oficial,Toro Digital,841489,9
251292808253299,Canadian College,Canadian College,701156,22
619776134722439,Secretaría Distrital de Salud,Secretaría Distrital de Salud,542447,11
105860962029722,medellinvuelveabrillar,Medellín Vuelve a Brillar,523565,9
310454127055,Politécnico Grancolombiano,Sergio Fernando Gallo Suarez,503698,4
601336570076276,Rodolfo Correa,Rodolfo Andres Vargas Correa,492608,3
75884689790,Colectivo de Abogados,Colectivo de Abogados,369329,2
112155252163421,Sebastián López V.,Sebastian Lopez Valencia,289178,18
141361183156268,Juan Carlos Upegui,Juan Carlos Upegui,288348,4
101071764864119,Dulce Veneno,Dulce Veneno,246460,2
108576731393581,Juliana Enciso,Claudia Juliana Enciso Montes,218574,5
256488875025665,Juan Bocanegra,Juan Carlos Bocanegra Chacón,201383,2
503621983303342,Oscar Mauricio Toro,Oscar Mauricio Toro Valencia,163041,3
387621548286709,Gustavo Gallego,Gustavo Adolfo Gallego Aristizabal,134683,11
1379933302305788,Colegio Gimnasio Americano,Colegio Gimnasio Americano,117132,3
106125295156311,Jose Elner Gonzalez,Jose Elner Gonzalez Azcarate,111935,4
969143216462972,Felipe Cañizalez,Andreina Quintero Correa,108345,1
460297427472944,Corporación  Educativa Politécnico La Salle,Corporación Educativa Politécnico La Salle,107163,1
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,100624,1
407615769604377,Mutante,Fundación Mutante,98531,13
108228068238348,Diego Caicedo,Diego Caicedo,97365,3
107204794960194,Instituto Técnico La Salle,Instituto Técnico La Salle,84961,11
53177129367,Dilian Francisca Toro Torres,Dilian Francisca Toro,84754,6
1147318942107929,Todos Somos Una,DEBRAIN LLC,82037,3
1622001728047397,Harman Alcalde,Harman Alcalde,76097,10
1581065862149234,Alcaldía de Tuluá John Jairo Gomez Aguirre,Alcaldía de Tuluá John Jairo Gomez Aguirre,69656,3
418155555015037,Germán Escobar Cundinamarca,German Mauricio Escobar,67861,2
102676629272823,Germán Hernández,German Hernandez Vera,67109,2
108158921672438,Llener Borja,Alvaro Jose Gomez Ramirez,66258,5
381464961911270,Cruz Roja Antioquia,Cruz Roja Colombiana Seccional Antioquia,64229,5
369866297063101,Otoniel Rondón Márquez,Edgar Hernando Paez Aparicio,60481,2
299469560099835,Alcaldía de Cali,Alcaldía de Cali,60228,3
105437204540183,Miyerlandi Torres A,Miyerlandi Torres A,58538,4
1953017374955460,Nelson Barrera Roa,Nelson Barrera Roa,58182,1
104969865721375,Profes.movimientociudadano,John Bazurto,57987,5
462660883763346,Ronald Mayorga,Ronald Mayorga,55549,8
114317847146525,Alvaro Arias Velez,TORO DIGITAL,54530,2
370267297019304,Marco Hincapié,Marco Emilio Hincapie Ramirez,53981,3
258948700872338,Isvimed Alcaldía de Medellín,Eikon Digital S.A.S.,47959,11
1488419784774409,Alcaldía de Soledad,Alcaldía Municipal de Soledad,46130,5
851680034864966,Proantioquia,FUNDACION PARA EL DESARROLLO DE ANTIOQUIA. ANTIOQUIA POR COLOMBIA,44502,2
100684621294069,Diego Cancino - Concejal de Bogotá,Equipo Diego Cancino,42339,1
838927469815494,Diana Diago,Diana Marcela Diago,41502,7
103084375858203,Mi Campaña Aplicación,BJS inversiones,40222,9
179003239458192,Jorge Humberto Rangel,Jorge Rangel,39547,2
175346789490397,Peyi Paternina,Peyi Paternina,38789,3
133787883971402,Oscar Ramírez Vahos,Oscar Ramirez Vahos,37032,1
350160788433059,Proclama Cauca y Valle,Proclama Cauca y Valle,35998,4
796134277395174,Luis Francisco Ruiz Aguilar,Luis Francisco Ruiz Aguilar,35154,3
915743661945208,Alejandro Eder,Alejandro Eder,33362,9
157146724439549,Luis Bernardo Vélez,Martha Patricia Giraldo,32577,2
106083021215996,Todos por Medellín,Todos por Medellín,31955,2
