Location name,Amount spent (CAD)
Alberta,9642
British Columbia,12388
Manitoba,3269
New Brunswick,1287
Newfoundland and Labrador,861
Northwest Territories,≤100
Nova Scotia,1536
Nunavut,≤100
Ontario,24532
Prince Edward Island,212
Quebec,14554
Saskatchewan,2780
Unknown,≤100
Yukon,≤100
