Location name,Amount spent (CHF)
Aargau,136
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,156
Basel-Landschaft,127
Bern,450
Canton of Geneva,1993
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,472
Fribourg,108
Graubünden,≤100
Jura,≤100
Luzern,609
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,136
Ticino,554
Unknown,≤100
Uri,≤100
Valais,≤100
Vaud,131
Zug,≤100
Zürich,684
