Location name,Amount spent (PLN)
Greater Poland Voivodeship,4807
Kuyavian-Pomeranian Voivodeship,2566
Lesser Poland Voivodeship,5022
Lower Silesian Voivodeship,4126
Lublin Voivodeship,2427
Lubusz Voivodeship,1091
Masovian Voivodeship,8162
Opole Voivodeship,947
Podkarpackie Voivodeship,1923
Podlaskie Voivodeship,1377
Pomeranian Voivodeship,3352
Silesian Voivodeship,5934
Unknown,≤100
Warmian-Masurian Voivodeship,1479
West Pomeranian Voivodeship,2304
Łódź Voivodeship,2974
Świętokrzyskie Voivodeship,1138
