Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,4203,6
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,3174,40
109435040434606,Rzecznik Praw Dziecka,Biuro Rzecznika Praw Dziecka,3137,1
654912251187357,Grupa PGE,Grupa PGE,3002,2
240730895944771,Fundacja Centrum Solidarności,Fundacja Centrum Solidarności,2569,14
95661128574,Radio ESKA,Radio ESKA,1379,3
395533923834784,PSL Mazowsze,Zarząd Wojewódzki Polskiego Stronnictwa Ludowego Województwa Mazowieckiego,1238,44
426784938154184,PrzyjacieleZwierzat.pl,PrzyjacieleZwierzat.pl,1230,34
57544755889,Amnesty International Polska,Amnesty International Polska,1128,28
228168274881,wysokieobcasy,wysokieobcasy,854,12
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,761,24
100302862419697,"Wielkopolska, tej",UMWW,702,4
178362315106,European Parliament,European Parliament,668,8
176114889652,Kancelaria Premiera,Kancelaria Premiera,581,1
74863922834,Krytyka Polityczna,Krytyka Polityczna,568,9
513969188677442,Compassion Polska,Compassion Polska,568,18
102577288350341,Super Biznes,se.pl,548,5
167053496770977,Fundacja Redemptoris Missio,Fundacja Pomocy Humanitarnej Redemptoris Missio,519,2
109218848183780,Marek Woźniak,UMWW,478,8
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,472,11
199877710116314,Patryk Jaki,GRUPA EKR - Patryk Jaki MEP,465,6
469702339755768,Paweł Tanajno Polska Liberalna,Iam4u.pl,462,98
160181130796814,Fundacja ADRA Polska - ADRA Poland,Fundacja ADRA Polska,438,2
273827962690526,Otwarte Klatki,Otwarte Klatki,437,8
69153026654,Jerzy Buzek,Jerzy Buzek,434,2
129996417011607,Marcin OCIEPA,Marcin OCIEPA,373,1
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,332,5
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,327,2
851597268265842,Telewizja Kopernik,TELEWIZJA KOPERNIK,295,15
50063176484,TVN24,TVN,288,16
185265414715,Onet,Onet,287,7
142614625077,WWF Polska,WWF Polska,281,6
653937168081792,PZU,Powszechny Zakład Ubezpieczeń Spółka Akcyjna (PZU SA),273,8
295161506338,AKADEMIA PRZYSZŁOŚCI,Stowarzyszenie Wiosna,257,28
84072659617,Dom Spotkań z Historią,Dom Spotkań z Historią,225,7
475584852475176,Pozytron,Bartłomiej Jan Ginter,223,8
339855706171439,Dobra Fabryka,Dobra Fabryka,222,12
1683534065241470,OKO.press,OKO.press,222,10
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,221,10
261362784032720,Sambudrol.pl - Ekspert w dziedzinie ogrzewania i paliw stałych,SAM-BUD-ROL Sp. z o.o. Sp.K.,203,10
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,202,5
111778487054045,TOGETAIR,Kamil Magot,190,1
391098174296294,Super Express,se.pl,190,2
157255317751718,Kancelaria Mentzen,Kancelaria Mentzen,189,16
312204349288060,Mariusz Gosek,Mariusz Gosek,186,7
311278685609822,Fundacja Centaurus,Fundacja Centaurus,173,6
125185964281959,Centrum Edukacji Obywatelskiej (CEO),Centrum Edukacji Obywatelskiej (CEO),164,2
1477251852486946,Kosma Złotowski,Grupa Europejskich Konserwatystów i Reformatorów,162,11
255100403945,Polityka,Polityka,156,5
100120136068412,Reo.pl - platforma handlu energią z OZE,Reo.pl Sp. z o.o.,151,32
366479557203706,Sylwia Majcher,Sylwia Majcher,151,4
1695616287382430,Schneider Electric,Schneider Electric Polska,144,5
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,142,8
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,140,10
173086948664,Infor.pl,Infor.pl,140,10
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,137,10
447190942074880,Polskie Stowarzyszenie Obrońców Życia Człowieka,Polskie Stowarzyszenie Obrońców Życia Człowieka,136,3
163488137165461,E.ON Polska,E.ON Polska,136,5
256314858405394,Paweł Olszewski,Paweł Olszewski,127,1
202813996476257,Podlaski.info,Tygodnik Podlaski,124,2
174590316460026,CONVERSE,These ads ran without a disclaimer,122,1
371981706755861,Kierunek na EKO,OS3 Sp. z o. o.,117,5
170854966281100,Wspólnota Burego Misia,Fundacja Wspólnoty Burego Misia im. Bogdana Jańskiego,116,1
107396187476330,LUX MED Stomatologia,"LUX MED Sp. z o.o.,",116,10
102759805294356,Dariusz Matecki - Radny Miasta Szczecin,Dariusz Matecki Radny Miasta Szczecin,113,14
206578949374958,Fundacja Republikańska,Fundacja Republikańska,110,2
510640639028841,Tramwaje Warszawskie,Tramwaje Warszawskie,≤100,1
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,≤100,1
662892093824152,Fundacja Małych Stópek,Fundacja Małych Stópek,≤100,1
137877409609952,Lewica,Nowa Lewica,≤100,1
147547541961576,Council of the European Union,Council of the European Union,≤100,2
213282372051731,Wolontariatgdansk,Regionalne Centrum Wolontariatu w Gdańsku,≤100,5
109905377899546,Wielkopolska Energia,Veolia Energia Poznań S.A.,≤100,1
505864632777215,Tygodnik Lisickiego,Orle Pióro sp. z o.o.,≤100,5
106991535121828,Medilife. Centrum Rozwoju,Medilife. Health & Care,≤100,30
104313762397672,PolitykaRolna.eu - Nowa Wspólna Polityka Rolna projekt Infocap PL,These ads ran without a disclaimer,≤100,1
701219240036213,Instytut Rozwoju Sztuki,Helena Siadlak,≤100,1
514735281965536,Demagog,Demagog,≤100,5
108567461681538,"Polska Katolicka, nie Laicka",Fundacja Instytut Edukacji Społecznej i Religijnej im. Ks. Piotra Skargi,≤100,1
107265068092174,Onet Premium,Ringier Axel Springer Polska,≤100,1
141049865933925,Katolicka Agencja Informacyjna / KAI,Katolicka Agencja Informacyjna,≤100,1
134626909042,Stowarzyszenie Inwestorów Indywidualnych,Stowarzyszenie Inwestorów Indywidualnych,≤100,5
199877710116314,Patryk Jaki,Patryk Jaki,≤100,1
1227194230675141,Pratia,Pratia SA,≤100,3
151335091681888,Studium Europy Wschodniej UW,Adam Błonowski,≤100,5
174126912673062,Młodzi pro-life,Polskie Stowarzyszenie Obrońców Życia Człowieka,≤100,2
1495088660777971,Legal Geek,Legal Geek sp. z o.o.,≤100,8
705102212897553,Effekt Katowice,EFFEKT Sp. z o.o.,≤100,5
1646168595688590,Kujawsko-Pomorski Urząd Wojewódzki w Bydgoszczy,Kujawsko-Pomorski Urząd Wojewódzki w Bydgoszczy,≤100,1
104921858016507,Dzień Dobry Podatki,Michał Wilk,≤100,4
102792325966064,Kopalnia kitu,Kopalnia Kitu (DoubleD Marketing),≤100,4
110423954994586,O-I Poland,These ads ran without a disclaimer,≤100,1
328190797653238,Fundacja Alberta Schweitzera,Fundacja Alberta Schweitzera,≤100,1
142218132483199,Kasa Stefczyka,Kasa Stefczyka,≤100,1
330644215221,Bankier.pl,Bankier.pl,≤100,6
114118277053586,HSI Europe,These ads ran without a disclaimer,≤100,1
429506290917644,Toyota - fabryka w Jelczu,Szymon Jan Marczak,≤100,3
361650134246397,Hrabia Tytus,Fundacja Zakłady Kórnickie,≤100,1
999568213449974,"Niezależni PV - Fotowoltaika dla domu, firmy i rolnictwa",Łukasz Zbigniew Czerwiński,≤100,7
107478768563531,Andrzej ŚLIWKA - Wiceminister Aktywów Państwowych,Andrzej Śliwka,≤100,4
199739460042641,Zdrowie w stylu LUX MED,Zdrowie w stylu LUX MED,≤100,3
731347520270813,Kamil Żbikowski - Lepsze Zabrze,Kamil Piotr Żbikowski,≤100,2
114453729684,gazetaprawna.pl,gazetaprawna.pl,≤100,12
992640654249666,Krzysztof Kukucki,Krzysztof Aleksander Kukucki,≤100,1
1493760307522390,CityFit,CityFit,≤100,1
108301418501661,Odszkodowania Za Represje 1944-1989,These ads ran without a disclaimer,≤100,3
814991668621838,Norbert Kaczmarczyk,Norbert Kaczmarczyk,≤100,1
91021863613,Szlachetna PACZKA,Stowarzyszenie Wiosna,≤100,7
1425264934431305,Polski Instytut Księgowości,Polski Instytut Księgowości,≤100,6
990533821012595,Nierealnie,Nierealnie.pl,≤100,5
207653439276138,Fundusze Europejskie dla Dolnego Śląska,Fundusze Europejskie dla Dolnego Śląska,≤100,2
101675557899435,Wiadomości Szczecin,Gmina Miasto Szczecin,≤100,2
173873282095,Forsal.pl,Forsal.pl,≤100,4
103385905237730,Fundacja Syreny,Fundacja Syreny,≤100,1
81885462442,Histmag.org,Histmag.org,≤100,6
1725148494424834,Urząd Marszałkowski Województwa Wielkopolskiego,Urząd Marszałkowski Województwa Wielkopolskiego,≤100,2
186543124707583,ISSA Prevent Plastic Pollution,Biuro wykonawcze ISSA w Polsce,≤100,7
173127989375885,Ośrodek KARTA,Fundacja Ośrodka KARTA,≤100,1
567066860335135,Błękitny Węgiel,Błękitny Węgiel,≤100,3
834495839904474,Michał Cieślak,Leszek Mikołaj Zajęcki,≤100,4
254609585192595,"Prof. Marek GZIK, przewodniczący Sejmiku Województwa Śląskiego",Marek Gzik,≤100,2
137825289577487,mojacukrzyca.org - merytorycznie o cukrzycy,Jerzy Magiera,≤100,1
1608898765820336,Vogue Polska,Vogue Polska,≤100,2
129626970836,inFakt,inFakt,≤100,11
176619537364977,Grodno S.A.,Grodno S.A.,≤100,2
371359310400318,Janusz Kowalski,Janusz Kowalski,≤100,1
171382802698,Klub Jagielloński,Klub Jagielloński,≤100,1
