Location name,Amount spent (IDR)
Aceh,672937
Bali,1940039
Bangka–Belitung Islands,328101
Banten,1967905
Bengkulu,565939
Central Java,7765897
Central Kalimantan,656425
Central Sulawesi,898670
East Java,9856719
East Kalimantan,1434208
East Nusa Tenggara,1701626
Gorontalo,572596
Jakarta,4215515
Jambi,705725
Lampung,1411476
Maluku,480777
North Kalimantan,236018
North Maluku,400906
North Sulawesi,1623415
North Sumatra,4023093
Papua (province),733904
Riau,1927651
Riau Islands Province,799878
South Kalimantan,815153
South Sulawesi,2106862
South Sumatra,1654982
Southeast Sulawesi,668420
Special Region of Yogyakarta,1374129
Unknown,4887
West Java,8947841
West Kalimantan,1459282
West Nusa Tenggara,1447812
West Papua,369166
West Sulawesi,376920
West Sumatra,950372
