Location name,Amount spent (SEK)
Blekinge County,3974
Dalarna County,7442
Gotland County,1773
Gävleborg County,8094
Halland County,9474
Jämtland County,3886
Jönköping County,10172
Kalmar County,5846
Kronoberg County,5653
Norrbotten County,7132
Skåne County,41906
Stockholm County,75355
Södermanland County,8280
Unknown,≤100
Uppsala County,13101
Värmland County,7359
Västerbotten County,9656
Västernorrland County,7844
Västmanland County,7533
Västra Götaland County,51347
Örebro County,8074
Östergötland County,12222
