Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,311
Bangkok,8453
Bueng Kan,≤100
Buriram,334
Chachoengsao,229
Chai Nat,≤100
Chaiyaphum,264
Chanthaburi,176
Chiang Mai,890
Chiang Rai,328
Chon Buri,1419
Chumphon,224
Kalasin,217
Kamphaeng Phet,264
Kanchanaburi,277
Khon Kaen,637
Krabi,179
Lampang,246
Lamphun,135
Loei,146
Lop Buri,205
Mae Hong Son,≤100
Maha Sarakham,237
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,273
Nakhon Phanom,171
Nakhon Ratchasima,825
Nakhon Sawan,259
Nakhon Si Thammarat,504
Nan,124
Narathiwat,178
Nong Bua Lam Phu,128
Nong Khai,127
Nonthaburi,670
Pathum Thani,491
Pattani,224
Phangnga,≤100
Phatthalung,174
Phayao,139
Phetchabun,220
Phetchaburi,181
Phichit,184
Phitsanulok,751
Phrae,138
Phuket,359
Prachin Buri,185
Prachuap Khiri Khan,235
Ranong,≤100
Ratchaburi,231
Rayong,468
Roi Et,252
Sa Kaeo,137
Sakon Nakhon,338
Samut Prakan,401
Samut Sakhon,297
Samut Songkhram,≤100
Saraburi,236
Satun,122
Sing Buri,≤100
Sisaket,312
Songkhla,546
Sukhothai,208
Suphan Buri,232
Surat Thani,474
Surin,325
Tak,138
Trang,206
Trat,≤100
Ubon Ratchathani,479
Udon Thani,386
Unknown,≤100
Uthai Thani,≤100
Uttaradit,124
Yala Province,201
Yasothon,565
