Location name,Amount spent (BRL)
Acre (state),353
Alagoas,1355
Amapá,498
Amazonas,3776
Bahia,6791
Ceará,5379
Espírito Santo,2403
Federal District,2533
Goiás,4364
Maranhão,3123
Mato Grosso,3013
Mato Grosso do Sul,1900
Minas Gerais,17132
Paraná,7493
Paraíba,1848
Pará,3333
Pernambuco,5730
Piauí,1687
Rio Grande do Norte,1806
Rio Grande do Sul,7349
Rio de Janeiro (state),17539
Rondônia,994
Roraima,441
Santa Catarina,5858
Sergipe,1472
São Paulo (state),40898
Tocantins,742
Unknown,≤100
