Page ID,Page name,Disclaimer,Amount spent (NIO),Number of ads in Library
107756041807121,oxfam_es,These ads ran without a disclaimer,≤100,1
102368071158002,Solis Latam,These ads ran without a disclaimer,≤100,2
177854402389449,Imdosoc,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
243385523091421,Competent Boards,These ads ran without a disclaimer,≤100,1
1691657301053819,No Todos Los Veranos Tienen Que Ser Azules,These ads ran without a disclaimer,≤100,1
101855485803198,Cod Stories,These ads ran without a disclaimer,≤100,1
237650313048963,China Admissions,These ads ran without a disclaimer,≤100,1
109954608456111,Bor Hit,These ads ran without a disclaimer,≤100,2
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,3
102836085669220,Sosa Stories,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,2
