Location name,Amount spent (NOK)
Akershus,3833
Aust-Agder,676
Buskerud,1734
Finnmark,784
Hedmark,1299
Hordaland,3104
Møre og Romsdal,2079
Nord-Trøndelag,951
Nordland,1979
Oppland,1239
Oslo,9140
Rogaland,2721
Sogn og Fjordane,781
Sør-Trøndelag,1848
Telemark,1021
Troms,1595
Unknown,≤100
Vest-Agder,1197
Vestfold,1408
Østfold,1827
