Location name,Amount spent (TRY)
Adana Province,70034
Adıyaman Province,9417
Afyonkarahisar Province,45763
Aksaray Province,26198
Amasya Province,7307
Ankara Province,181224
Antalya Province,109081
Ardahan Province,1785
Artvin Province,7007
Aydın Province,51642
Ağrı Province,4020
Balıkesir Province,44244
Bartın Province,4679
Batman Province,24475
Bayburt Province,4534
Bilecik Province,39677
Bingöl Province,1926
Bitlis Province,3753
Bolu Province,11331
Burdur Province,5895
Bursa Province,84777
Denizli Province,62530
Diyarbakır Province,36164
Düzce Province,10199
Edirne Province,29768
Elazığ Province,9273
Erzincan Province,6899
Erzurum Province,47906
Eskişehir Province,62621
Gaziantep Province,65676
Giresun Province,39209
Gümüşhane Province,2812
Hakkâri Province,1134
Hatay Province,18578
Isparta Province,19025
Istanbul Province,612490
Iğdır Province,1856
Kahramanmaraş Province,17087
Karabük Province,13582
Karaman Province,4759
Kars Province,2585
Kastamonu Province,27541
Kayseri Province,72315
Kilis Province,3109
Kocaeli Province,26121
Konya Province,71066
Kütahya Province,10653
Kırklareli Province,26385
Kırıkkale Province,18107
Kırşehir Province,8419
Malatya Province,51354
Manisa Province,72611
Mardin Province,25640
Mersin Province,63090
Muğla Province,70056
Muş Province,1968
Nevşehir Province,5096
Niğde Province,9249
Ordu Province,62682
Osmaniye Province,12148
Rize Province,37188
Sakarya Province,38021
Samsun Province,73770
Siirt Province,2791
Sinop Province,5850
Sivas Province,20539
Tekirdağ Province,36043
Tokat Province,21424
Trabzon Province,50940
Tunceli Province,1018
Unknown,8050
Uşak Province,19216
Van Province,32455
Yalova Province,13256
Yozgat Province,14291
Zonguldak Province,16587
Çanakkale Province,14630
Çankırı Province,17844
Çorum Province,22411
İzmir Province,133069
Şanlıurfa Province,65361
Şırnak Province,3420
