Location name,Amount spent (USD)
Alabama,11124
Alaska,2907
American Samoa,≤100
Arizona,28416
Arkansas,7220
California,104471
Colorado,19516
Connecticut,7308
Delaware,2865
Florida,64396
Georgia,33997
Guam,≤100
Hawaii,3038
Idaho,5240
Illinois,27857
Indiana,16084
Iowa,11625
Kansas,7861
Kentucky,13202
Louisiana,15971
Maine,10982
Maryland,19299
Massachusetts,17559
Michigan,39511
Minnesota,20053
Mississippi,8134
Missouri,15369
Montana,5245
Nebraska,3800
Nevada,11704
New Hampshire,6394
New Jersey,28493
New Mexico,5612
New York,75682
North Carolina,46282
North Dakota,1327
Northern Mariana Islands,≤100
Ohio,37348
Oklahoma,14125
Oregon,14293
Pennsylvania,49541
Puerto Rico,≤100
Rhode Island,4219
South Carolina,18950
South Dakota,1638
Tennessee,18465
Texas,82314
Unknown,≤100
Utah,8404
Vermont,1545
Virgin Islands (U.S.),≤100
Virginia,44195
Washington,20288
"Washington, District of Columbia",11966
West Virginia,6229
Wisconsin,23486
Wyoming,1515
