Location name,Amount spent (ZAR)
Eastern Cape,787
Free State,677
Gauteng,3144
KwaZulu-Natal,1450
Limpopo,794
Mpumalanga,635
North West,451
Northern Cape,232
Unknown,≤100
Western Cape,1836
