Location name,Amount spent (USD)
Azuay Province,415
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,≤100
Cotopaxi Province,≤100
El Oro Province,414
Esmeraldas Province,157
Galápagos Province,≤100
Guayas Province,1445
Imbabura Province,≤100
Loja Province,≤100
Los Ríos Province,210
Manabí Province,634
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,845
Santa Elena Province,≤100
Santo Domingo de los Tsáchilas Province,641
Sucumbíos Province,≤100
Tungurahua Province,≤100
Unknown,≤100
Zamora-Chinchipe Province,≤100
