Location name,Amount spent (EGP)
Al Sharqia Governorate,2133
Alexandria Governorate,1347
Aswan Governorate,191
Asyut Governorate,404
Beheira Governorate,740
Beni Suef Governorate,310
Cairo Governorate,3390
Dakahlia Governorate,1257
Damietta Governorate,374
Faiyum Governorate,264
Gharbia Governorate,979
Giza Governorate,1314
Ismailia Governorate,411
Kafr el-Sheikh Governorate,562
Luxor Governorate,125
Matrouh Governorate,≤100
Minya Governorate,562
Monufia Governorate,775
New Valley Governorate,≤100
North Sinai Governorate,109
Port Said Governorate,207
Qalyubia Governorate,1029
Qena Governorate,310
Red Sea Governorate,163
Sohag Governorate,492
South Sinai Governorate,≤100
Suez Governorate,130
Unknown,≤100
