Location name,Amount spent (NOK)
Akershus,6020
Aust-Agder,840
Buskerud,2234
Finnmark,788
Hedmark,1324
Hordaland,4554
Møre og Romsdal,4292
Nord-Trøndelag,1428
Nordland,1808
Oppland,1340
Oslo,9697
Rogaland,4418
Sogn og Fjordane,794
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,6265
Telemark,1492
Troms,1743
Unknown,≤100
Vest-Agder,1949
Vestfold,2311
Østfold,2134
