Location name,Amount spent (PLN)
Greater Poland Voivodeship,4665
Kuyavian-Pomeranian Voivodeship,2395
Lesser Poland Voivodeship,3823
Lower Silesian Voivodeship,4242
Lublin Voivodeship,2207
Lubusz Voivodeship,1002
Masovian Voivodeship,7344
Opole Voivodeship,1514
Podkarpackie Voivodeship,2155
Podlaskie Voivodeship,1212
Pomeranian Voivodeship,2683
Silesian Voivodeship,5721
Unknown,≤100
Warmian-Masurian Voivodeship,1366
West Pomeranian Voivodeship,2218
Łódź Voivodeship,2977
Świętokrzyskie Voivodeship,1318
