Location name,Amount spent (CAD)
Alberta,18179
British Columbia,11763
Manitoba,4435
New Brunswick,2089
Newfoundland and Labrador,1150
Northwest Territories,136
Nova Scotia,1919
Nunavut,≤100
Ontario,30985
Prince Edward Island,1905
Quebec,19140
Saskatchewan,3368
Unknown,≤100
Yukon,≤100
