Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,207
Berane Municipality,≤100
Bijelo Polje Municipality,251
Budva Municipality,234
Danilovgrad Municipality,≤100
Herceg Novi Municipality,137
Kolašin Municipality,≤100
Nikšić Municipality,389
Old Royal Capital Cetinje,≤100
Petnjica Municipality,≤100
Plav Municipality,≤100
Pljevlja Municipality,156
Plužine Municipality,≤100
Podgorica Capital City,1768
Rožaje Municipality,131
Tivat Municipality,209
Ulcinj Municipality,240
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
