Location name,Amount spent (MXN)
Aguascalientes,25663
Baja California,58106
Baja California Sur,12643
Campeche,32501
Chiapas,50307
Chihuahua,49317
Coahuila de Zaragoza,35798
Colima,12747
Distrito Federal,357984
Durango,19582
Guanajuato,64682
Guerrero,35667
Hidalgo,30887
Jalisco,130344
Michoacán de Ocampo,60688
Morelos,36870
Nayarit,12038
Nuevo León,344416
Oaxaca,34032
Puebla,144883
Querétaro Arteaga,40434
Quintana Roo,91894
San Luis Potosi,40242
Sinaloa,26339
Sonora,31025
State of Mexico,139211
Tabasco,28575
Tamaulipas,67008
Tlaxcala,13099
Unknown,≤100
Veracruz,77654
Yucatán,89173
Zacatecas,13627
