Location name,Amount spent (INR)
Andaman and Nicobar Islands,194
Andhra Pradesh,30288
Arunachal Pradesh,1367
Assam,12324
Bihar,48992
Chandigarh,1835
Chhattisgarh,57205
Dadra and Nagar Haveli,602
Delhi,36074
Goa,3256
Gujarat,40984
Haryana,32259
Himachal Pradesh,9205
Jammu and Kashmir,5251
Jharkhand,14221
Karnataka,48420
Kerala,12294
Lakshadweep,≤100
Madhya Pradesh,115205
Maharashtra,167795
Manipur,231
Meghalaya,768
Mizoram,681
Nagaland,555
Odisha,14929
Puducherry,1115
Punjab region,30325
Rajasthan,94825
Sikkim,2913
Tamil Nadu,35878
Telangana,46036
Tripura,1629
Unknown,115
Uttar Pradesh,92497
Uttarakhand,8729
West Bengal,31774
