Location name,Amount spent (EUR)
Alsace,652
Aquitaine,1363
Auvergne,421
Basse-Normandie,458
Bourgogne,540
Bretagne,1153
Centre,801
Champagne-Ardenne,445
Corse,178
Franche-Comté,336
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,705
Languedoc-Roussillon,1196
Limousin,220
Lorraine,745
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1079
New Caledonia,≤100
Nord-Pas-de-Calais,1446
Pays de la Loire,1176
Picardie,672
Poitou-Charentes,628
Provence-Alpes-Côte d'Azur,2386
Reunion Island,124
Rhône-Alpes,2269
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4553
