Location name,Amount spent (ZAR)
Eastern Cape,322
Free State,176
Gauteng,1834
KwaZulu-Natal,428
Limpopo,154
Mpumalanga,178
North West,156
Northern Cape,≤100
Unknown,≤100
Western Cape,5678
