Location name,Amount spent (MXN)
Aguascalientes,11398
Baja California,30741
Baja California Sur,3528
Campeche,15759
Chiapas,17148
Chihuahua,27337
Coahuila de Zaragoza,161147
Colima,4666
Distrito Federal,108618
Durango,8196
Guanajuato,36713
Guerrero,15671
Hidalgo,10480
Jalisco,128254
Michoacán de Ocampo,36511
Morelos,44680
Nayarit,4429
Nuevo León,107721
Oaxaca,9880
Puebla,40504
Querétaro Arteaga,14273
Quintana Roo,34248
San Luis Potosi,25338
Sinaloa,11447
Sonora,14543
State of Mexico,180285
Tabasco,7226
Tamaulipas,68592
Tlaxcala,11818
Unknown,≤100
Veracruz,30536
Yucatán,23114
Zacatecas,5760
