Location name,Amount spent (AED)
Abu Dhabi,275
Dubai,834
Emirate of Ajman,149
Emirate of Sharjah,315
Fujairah,≤100
Ras al-Khaimah,≤100
Umm al-Quwain,≤100
Unknown,≤100
