Location name,Amount spent (PEN)
Amazonas Region,114
Ancash Region,407
Apurímac Region,117
Arequipa Region,518
Ayacucho Region,214
Cajamarca Region,359
Callao,304
Cusco Region,425
Huancavelica Region,≤100
Huánuco Region,207
Ica Region,473
Junín Region,400
La Libertad Region,675
Lambayeque Region,475
Lima Region,5261
Loreto Region,310
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,753
Puno Region,429
San Martín Region,281
Tacna Region,148
Tumbes Region,107
Ucayali Region,225
Unknown,≤100
