Location name,Amount spent (PLN)
Greater Poland Voivodeship,5354
Kuyavian-Pomeranian Voivodeship,2887
Lesser Poland Voivodeship,4140
Lower Silesian Voivodeship,4012
Lublin Voivodeship,2338
Lubusz Voivodeship,1456
Masovian Voivodeship,9356
Opole Voivodeship,1657
Podkarpackie Voivodeship,1856
Podlaskie Voivodeship,1760
Pomeranian Voivodeship,2841
Silesian Voivodeship,5567
Unknown,≤100
Warmian-Masurian Voivodeship,2151
West Pomeranian Voivodeship,2454
Łódź Voivodeship,4926
Świętokrzyskie Voivodeship,1337
