Location name,Amount spent (RON)
Alba County,373
Arad County,474
Argeș County,741
Bacău County,568
Bihor County,921
Bistrița-Năsăud County,303
Botoșani County,346
Brașov County,524
Brăila County,322
Bucharest,2932
Buzău County,399
Caraș-Severin County,247
Cluj County,897
Constanța County,699
Covasna County,250
Călărași County,181
Dolj County,552
Dâmbovița County,486
Galați County,672
Giurgiu County,169
Gorj County,325
Harghita County,468
Hunedoara County,400
Ialomița County,172
Iași County,730
Ilfov County,312
Maramureș County,435
Mehedinți County,235
Mureș County,846
Neamț County,441
Olt County,309
Prahova County,784
Satu Mare County,379
Sibiu County,426
Suceava County,549
Sălaj County,209
Teleorman County,243
Timiș County,728
Tulcea County,182
Unknown,≤100
Vaslui County,282
Vrancea County,277
Vâlcea County,365
