Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,418
Apurímac Region,119
Arequipa Region,463
Ayacucho Region,207
Cajamarca Region,386
Callao,227
Cusco Region,397
Huancavelica Region,≤100
Huánuco Region,203
Ica Region,410
Junín Region,376
La Libertad Region,625
Lambayeque Region,472
Lima Region,2868
Loreto Region,404
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,612
Puno Region,372
San Martín Region,269
Tacna Region,129
Tumbes Region,109
Ucayali Region,186
Unknown,≤100
