Page ID,Page name,Disclaimer,Amount spent (JMD),Number of ads in Library
111367981869928,Alric Campbell,Alric Campbell,2105,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1308,2
10606591490,TIME,These ads ran without a disclaimer,≤100,1
100525605800075,Meet and Greet,These ads ran without a disclaimer,≤100,5
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,3
101922875434564,Road to Vintage - Music,These ads ran without a disclaimer,≤100,1
105986175239619,Sea Creature Love,These ads ran without a disclaimer,≤100,9
106824494733100,Simbaly - Lifestyle,These ads ran without a disclaimer,≤100,1
109755664976719,Ginger's Notebook,These ads ran without a disclaimer,≤100,2
2354017254707192,Learning English with Oxford,These ads ran without a disclaimer,≤100,1
101459741907326,Jerusalem Online - Culture,These ads ran without a disclaimer,≤100,1
109371345205088,Fun Magazine Pro,These ads ran without a disclaimer,≤100,1
101388509327100,Extra famous,These ads ran without a disclaimer,≤100,6
478297078923452,Big Easy Believer,These ads ran without a disclaimer,≤100,3
