Location name,Amount spent (DKK)
Capital Region of Denmark,26791
Central Denmark Region,13198
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,5623
Region of Southern Denmark,11485
Unknown,≤100
Zealand Region,7801
