Location name,Amount spent (SEK)
Blekinge County,10511
Dalarna County,19706
Gotland County,4950
Gävleborg County,19731
Halland County,22319
Jämtland County,9035
Jönköping County,22824
Kalmar County,14810
Kronoberg County,11614
Norrbotten County,17724
Skåne County,88534
Stockholm County,154745
Södermanland County,19871
Unknown,≤100
Uppsala County,26948
Värmland County,18534
Västerbotten County,18142
Västernorrland County,16656
Västmanland County,17636
Västra Götaland County,127072
Örebro County,20217
Östergötland County,29297
