Location name,Amount spent (LBP)
Beirut Governorate,2592386
Beqaa Governorate,852798
Mount Lebanon Governorate,1552239
Nabatieh Governorate,298507
North Governorate,1210505
South Governorate,473433
Unknown,≤100
