Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,347
Bicol Region,2107
Cagayan Valley,2238
Calabarzon,10092
Caraga,943
Central Luzon,6384
Central Visayas,6499
Cordillera Administrative Region,736
Davao Region,1794
Eastern Visayas,1887
Ilocos Region,2264
Metro Manila,15715
Mimaropa,1352
Northern Mindanao,2954
Soccsksargen,1390
Unknown,≤100
Western Visayas,6453
Zamboanga Peninsula,2083
