Location name,Amount spent (MXN)
Aguascalientes,5648
Baja California,19863
Baja California Sur,2163
Campeche,15373
Chiapas,10979
Chihuahua,17462
Coahuila de Zaragoza,70738
Colima,9410
Distrito Federal,74915
Durango,6079
Guanajuato,33039
Guerrero,6795
Hidalgo,5032
Jalisco,144193
Michoacán de Ocampo,17769
Morelos,5643
Nayarit,2444
Nuevo León,133629
Oaxaca,7998
Puebla,13849
Querétaro Arteaga,15961
Quintana Roo,7927
San Luis Potosi,8217
Sinaloa,9572
Sonora,18178
State of Mexico,130990
Tabasco,5810
Tamaulipas,17810
Tlaxcala,2643
Unknown,≤100
Veracruz,22176
Yucatán,13379
Zacatecas,2583
