Location name,Amount spent (COP)
Amazonas,2959
Antioquia,6998489
Arauca,19427
Atlantico,1032830
Bolivar,208533
Boyaca,358669
Caldas,268382
Caqueta,115311
Casanare,35940
Cauca,317382
Cesar,864767
Choco,28439
Cordoba,455997
Cundinamarca,619819
Distrito Especial,3878754
Guainia,6201
Guaviare,55524
Huila,474066
La Guajira,35076
Magdalena,434294
Meta,310117
Narino,84112
Norte de Santander,773585
Putumayo,137918
Quindio,95735
Risaralda,578457
San Andres y Providencia,5578
Santander,1568120
Sucre,773081
Tolima,389971
Unknown,459
Valle del Cauca,4200324
Vaupes,478
Vichada,966
