Location name,Amount spent (COP)
Amazonas,3882
Antioquia,9549945
Arauca,97291
Atlantico,984976
Bolivar,695605
Boyaca,1341117
Caldas,930627
Caqueta,434207
Casanare,381630
Cauca,525372
Cesar,380941
Choco,67047
Cordoba,801134
Cundinamarca,1711156
Distrito Especial,7810626
Guainia,2237
Guaviare,148186
Huila,815062
La Guajira,93193
Magdalena,315409
Meta,1255021
Narino,302793
Norte de Santander,3555061
Putumayo,361621
Quindio,194826
Risaralda,1445947
San Andres y Providencia,69718
Santander,2028331
Sucre,267666
Tolima,1060626
Unknown,900
Valle del Cauca,5429361
Vaupes,1045
Vichada,1809
