Location name,Amount spent (DKK)
Capital Region of Denmark,40033
Central Denmark Region,21017
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8114
Region of Southern Denmark,17577
Unknown,≤100
Zealand Region,10161
