Location name,Amount spent (VND)
An Giang Province,173047
Bà Rịa–Vũng Tàu Province,53692
Bình Dương Province,131602
Bình Phước Province,5670
Bình Thuận Province,39670
Bình Định Province,37041
Bạc Liêu Province,8675
Bắc Giang Province,58786
Bắc Kạn Province,1141
Bắc Ninh Province,47956
Bến Tre Province,7365
Cao Bằng Province,1984
Cà Mau Province,5997
Cần Thơ,69073
Da Nang,72098
Gia Lai Province,37616
Haiphong,63377
Ho Chi Minh City,835361
Hà Giang Province,2935
Hà Nam Province,11494
Hà Tĩnh Province,55653
Hòa Bình Province,8375
Hưng Yên Province,41270
Hải Dương Province,76452
Hậu Giang Province,5415
Khánh Hòa Province,47838
Kiên Giang Province,34913
Kon Tum Province,4182
Lai Châu Province,525
Long An Province,67868
Lào Cai Province,10218
Lâm Đồng Province,53282
Lạng Sơn Province,5600
Nam Định Province,23343
Nghệ An Province,57992
Ninh Bình Province,12311
Ninh Thuận Province,10822
Phú Thọ Province,13311
Phú Yên Province,6332
Quảng Bình Province,13346
Quảng Nam Province,41303
Quảng Ngãi Province,38713
Quảng Ninh Province,42339
Quảng Trị Province,16048
Sóc Trăng Province,17774
Sơn La Province,4046
Thanh Hóa Province,52156
Thái Bình Province,49071
Thái Nguyên Province,34501
Thừa Thiên–Huế Province,51757
Tiền Giang Province,79915
Trà Vinh Province,4064
Tuyên Quang Province,3352
Tây Ninh Province,31613
Vĩnh Long Province,21238
Vĩnh Phúc Province,28620
Yên Bái Province,3676
Điện Biên Province,6009
Đắk Lắk Province,40782
Đắk Nông Province,29724
Đồng Nai Province,178464
Đồng Tháp Province,33275
