Location name,Amount spent (SEK)
Blekinge County,3096
Dalarna County,6570
Gotland County,1845
Gävleborg County,6627
Halland County,6487
Jämtland County,3118
Jönköping County,7388
Kalmar County,4689
Kronoberg County,3561
Norrbotten County,6597
Skåne County,29954
Stockholm County,56075
Södermanland County,6502
Unknown,≤100
Uppsala County,9068
Värmland County,5506
Västerbotten County,6921
Västernorrland County,5710
Västmanland County,6358
Västra Götaland County,41624
Örebro County,6532
Östergötland County,10075
