Location name,Amount spent (EGP)
Al Sharqia Governorate,7853
Alexandria Governorate,9662
Aswan Governorate,1455
Asyut Governorate,3098
Beheira Governorate,4715
Beni Suef Governorate,2050
Cairo Governorate,20402
Dakahlia Governorate,9616
Damietta Governorate,2637
Faiyum Governorate,2189
Gharbia Governorate,6570
Giza Governorate,5926
Ismailia Governorate,1902
Kafr el-Sheikh Governorate,3679
Luxor Governorate,968
Matrouh Governorate,432
Minya Governorate,3615
Monufia Governorate,4765
New Valley Governorate,393
North Sinai Governorate,699
Port Said Governorate,1691
Qalyubia Governorate,4923
Qena Governorate,2317
Red Sea Governorate,892
Sohag Governorate,3460
South Sinai Governorate,379
Suez Governorate,1151
Unknown,≤100
