Location name,Amount spent (EGP)
Al Sharqia Governorate,1274
Alexandria Governorate,844
Aswan Governorate,≤100
Asyut Governorate,317
Beheira Governorate,478
Beni Suef Governorate,164
Cairo Governorate,2624
Dakahlia Governorate,964
Damietta Governorate,238
Faiyum Governorate,147
Gharbia Governorate,672
Giza Governorate,1086
Ismailia Governorate,292
Kafr el-Sheikh Governorate,499
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,273
Monufia Governorate,352
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,301
Qalyubia Governorate,710
Qena Governorate,177
Red Sea Governorate,≤100
Sohag Governorate,255
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
