Location name,Amount spent (TWD)
Changhua,6424
Chiayi,1528
Hsinchu,3620
Hsinchu City,5065
Hualien,3443
Kaohsiung,21864
Keelung City,2867
Kinmen,425
Lienchiang,≤100
Miaoli,3020
Nantou,2315
New Taipei City,33968
Penghu,525
Pingtung,4775
Taichung,22325
Tainan,13696
Taipei,27494
Taitung,1376
Taoyuan City,21665
Unknown,2661
Yilan,2109
Yunlin,3669
