Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
9250349228,Greenpeace UK,Greenpeace UK,3758,16
7715002593,UNICEF UK,Unicef UK,3036,25
35671512696,World Animal Protection UK,World Animal Protection UK,2184,156
311627208673,WWF UK,WWF UK,1957,32
7214031395,Oxfam Great Britain,Oxfam Great Britain,1880,138
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),1795,27
569834799727730,National Grid UK,National Grid UK,1632,52
10677003998,Shelter,Shelter,1486,289
186622728032,RSPB,RSPB,1445,102
407834355957354,NatWest Business,NatWest Group plc,1321,12
365948210785448,Criminal Injuries Helpline,Criminal Injuries Helpline,1293,26
7043497714,Christian Aid,Christian Aid,1222,26
799576543492660,The Week Junior,The Week Junior,1177,59
101958682650112,ESG UK,Energy Saving Grants,1174,114
175338329150218,Help For Heroes,Help for Heroes,1150,205
102639461303190,Fair Pay For All,Fair Pay For All,1128,106
103662352102391,Family Debt Help,Family Debt Help,976,15
117476785190,Save the Children UK,Save the Children UK,955,47
7527864602,WaterAid UK,WaterAid UK,934,57
263162170381168,The Salvation Army United Kingdom and Ireland Territory,The Salvation Army United Kingdom with the Republic of Ireland,930,23
121936349543,World Vision UK,World Vision UK,870,50
45986010500,Barnardo's,Barnardo's,765,20
693990677314288,Royal London,Royal London,637,6
177855115588808,The Week UK,The Week UK,588,31
108951391565231,Help to Heat,Help to Heat,585,15
13047522725,Crimestoppers,Crimestoppers,579,70
246872175166,Action Against Hunger UK,Action Against Hunger UK,543,131
123027101047606,Pancreatic Cancer UK,Pancreatic Cancer UK,542,11
1721275931466984,The Reclaim Party,The Reclaim Party,451,6
158077247591710,Refuge,Refuge,448,42
139695000173,Good Energy UK,Good Energy,443,98
220543443746,International Rescue Committee - UK,International Rescue Committee UK,425,17
220513170893,Ripple Effect,Send a Cow,414,15
104677264773039,We Eat Balanced,Agriculture and Horticulture Development Board,405,28
195754307110390,Right To Life UK,Right To Life UK,398,24
104259838288065,Independent Monitoring Authority,Independent Monitoring Authority,377,13
104255571968810,Save My Vape,Save My Vape,372,46
102093205997581,Danny Beales for Uxbridge & South Ruislip,London Labour Party,357,14
59367068326,The Ramblers,The Ramblers,354,12
841894835830532,Electoral Commission UK,Electoral Commission UK,353,3
111692181958132,Keir Mather for Selby and Ainsty,The Labour Party,352,19
212038972186253,Transport for London,Transport for London,348,4
106646172464032,Moz for Mayor,Moz for Mayor,342,22
274651352565844,Oltco Ltd,Oltco Ltd,330,136
23958741368,Southbank Centre,Southbank Centre,329,19
112712550420527,Ekō UK,SumOfUs,327,1
47612991154,Dignity in Dying,Dignity in Dying,322,34
111451695317787,Steve Tuckwell - The Local Choice,The Conservative Party,316,14
360322167647280,"Mayor of London, Sadiq Khan",The Greater London Authority,314,13
109602554296513,Your Funded Energy Solution,Your Funded Energy Solution,295,7
353224381469808,ifaw,IFAW,291,45
19895907944,CAFOD,CAFOD,289,26
474613052643462,London Labour Party,The Labour Party,289,16
358706239805,Scope,Scope,280,7
55984857501,Open Doors UK & Ireland,Open Doors with Brother Andrew,273,10
135602823147553,Heathrow Airport,Heathrow Airport Limited,252,3
18933990398,Stonewall,Stonewall UK,244,27
802671466445707,Product Earth,Product Earth,242,12
2047806148766050,Animal Equality UK,Animal Equality UK,241,4
1046117708754519,Care4Calais,Care4Calais,236,28
116851005026898,London Gatwick,Gatwick Airport Ltd,228,14
127031794038958,Blue Marine Foundation,Blue Marine Foundation,226,93
25749647410,The Labour Party,The Labour Party,226,312
1660600037490738,Guardian Labs,Guardian Labs,226,14
1738524969810037,Mission India UK,Mission India UK,223,12
104487412566017,Green_Energy_Assist,Green_Energy_Assist,219,2
104768005247443,Say No To WHO,Say no to WHO,207,2
290498754454402,European Movement UK,European Movement UK,204,5
7624294394,Amnesty International UK,Amnesty International UK,195,10
310039442421596,Scottish Labour Party,Scottish Labour Party,195,40
135456716565905,Guardian Jobs,Guardian Jobs,190,19
10114144851,NSPCC,NSPCC,187,6
137660096284927,Child Poverty Action Group (UK) - CPAG,Child Poverty Action Group,186,17
110538548040758,Care2 UK,John Ayling & Associates,183,2
490007667679401,Hugh James,Hugh James,183,3
114651147002520,SSE Energy Solutions,SSE,172,12
159969930741814,The Wildlife Trusts,The Wildlife Trusts,162,5
1863944713844924,Best For Britain,Best for Britain,160,14
208573062515662,Freedom from Torture,Freedom from Torture,158,15
346684596111093,KinKind,KinKind Ltd,156,12
18168505158,The Woodland Trust,Woodland Trust,155,16
25040545213,Contact - For families with disabled children,Contact,155,46
1586251881644270,Keir Starmer,The Labour Party,152,112
249209468838241,Good Law Project,Good Law Project,150,56
6707857033,Global Justice Now,Global Justice Now,150,13
26806660922,Humanists UK,Humanists UK,147,1
969316546484584,Faye Purbrick,The Conservative Party,147,6
10986039307,VSO,VSO,140,22
89151782746,Fauna & Flora,Fauna & Flora International,139,92
49275915266,MSI Reproductive Choices,MSI Reproductive Choices,137,76
103835971750,Orbis UK,Orbis UK,137,39
453624597990055,The Separated Child Foundation,The Separated Child Foundation,130,5
22827312848,CPRE The countryside charity,Campaign to Protect Rural England,129,13
169042736456594,All Out,All Out,128,18
