Location name,Amount spent (HUF)
Baranya County,166325
Borsod-Abaúj-Zemplén County,228556
Budapest,966825
Bács-Kiskun County,214464
Békés County,132820
Csongrád County,180161
Fejér County,183034
Győr-Moson-Sopron County,200026
Hajdú-Bihar County,204201
Heves County,118896
Jász-Nagykun-Szolnok County,147493
Komárom-Esztergom County,136720
Nógrád County,69727
Pest County,499689
Somogy County,117364
Szabolcs-Szatmár-Bereg County,194320
Tolna County,100292
Unknown,≤100
Vas County,116517
Veszprém County,140798
Zala County,123665
