Location name,Amount spent (CAD)
Alberta,8617
British Columbia,10993
Manitoba,2872
New Brunswick,2003
Newfoundland and Labrador,439
Northwest Territories,≤100
Nova Scotia,1077
Nunavut,≤100
Ontario,16126
Prince Edward Island,140
Quebec,8116
Saskatchewan,5799
Unknown,≤100
Yukon,≤100
